 ,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,Traditional Chinese,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Dialog.Chapter2-3-40,,…………<br>………<br>……,…………<br>………<br>……,「…………<br>………<br>……」,「…………<br>………<br>……」,............<br>.........<br>......,...<br>...<br>...,…………<br>………<br>……,「…………<br>………<br>……」
,,,,,,,,,
Dialog.Chapter2-3-41,,六花の意識はそこで途絶えた,六花の意識はそこで途絶えた,六花的意識就此中斷了。,六花的意識就此中斷了。,Rikka's consciousness ceased there.,Rikka lost consciousness.,릿카의 의식은 거기서 끊겼다,六花的意识就此中断了。
,,,,,,,,,
,報酬画面に入る,――――――,――――――,――――――,――――――,――――――,...,――――――,――――――
,突発イベント：,,,,,,,,
Dialog.Chapter2-3-42,005号,「対象の沈黙を確認。作戦は成功です、このままオリジナル“水無瀬六花”を拘束し、アジトへ帰還します」,「対象の沈黙を確認。作戦は成功です、このままオリジナル“水無瀬六花”を拘束し、アジトへ帰還します」,「確認目標已失去意識。作戰成功。立刻拘束原型『水無瀨六花』，返回據點。」,「確認目標已失去意識。作戰成功。立刻拘束原型『水無瀨六花』，返回據點。」,"「The target's silence has been confirmed. The operation was a success. We will take the original ""Minase Rikka"" and return to the hideout.」","""Target has been subdued, the operation was a success. We have captured Rikka Minase, the ""Original"", and we will be returning to the hideout.""","「대상의 침묵을 확인. 작전은 성공입니다, 이대로 오리지널 “미나세 릿카”를 구속하고, 아지트로 귀환합니다」",「确认目标已失去意识。作战成功。立刻拘束原型『水无濑六花』，返回据点。」
,,,,,,,,,
Dialog.Chapter2-3-43,明穂,「みんなおつかれ～！六花は強いから心配してたけど、思ったより大したこと無かったね！」,「みんなおつかれ～！六花は強いから心配してたけど、思ったより大したこと無かったね！」,「大家辛苦啦～！原本還擔心六花太強，不過結果看來也沒什麼了不起嘛！」,「大家辛苦啦～！原本還擔心六花太強，不過結果看來也沒什麼了不起嘛！」,"「I was worried because Rikka is so strong, but it wasn't as big a deal as I thought!」","""Good work! I was worried because Rikka is so powerful, but that was not too hard!""","「모두 수고했어~! 릿카는 강해서 걱정했는데, 생각보다 별거 아니었네!」",「大家辛苦啦～！原本还担心六花太强，不过结果看来也没什么了不起嘛！」
,,,,,,,,,
Dialog.Chapter2-3-44,005号,「対象をアジトへ移送し、完全に拘束するまでが本作戦です。まだ気を抜かないように。」,「対象をアジトへ移送し、完全に拘束するまでが本作戦です。まだ気を抜かないように。」,「本次作戰的任務是把目標移送回據點，並在完全拘束。在此之前不能放鬆警惕。」,「本次作戰的任務是把目標移送回據點，並在完全拘束。在此之前不能放鬆警惕。」,「The operation will continue until the subject is transported to thehideout and taken into full custody. Do not let your guard down yet.」,"""The operation is not over until she is delivered to the secret hideout to be fully restrained. Stay alert!""","「대상을 아지트로 이송하고, 완전히 구속할 때까지가 본 작전입니다. 아직 긴장을 풀지 마십시오.」",「本次作战的任务是把目标移送回据点，并在完全拘束。在此之前不能放松警惕。」
,,,,,,,,,
Dialog.Chapter2-3-45,明穂,「う～～、クローンちゃんも六花に似て真面目なんだから…後は帰るだけなんだし心配いらないよ！」,「う～～、クローンちゃんも六花に似て真面目なんだから…後は帰るだけなんだし心配いらないよ！」,「唉～克隆體小姐跟六花一樣也認真了吧…接下來只要回去就好了，沒什麼好擔心的啦～！」,「唉～複製體小姐跟六花一樣也認真了吧…接下來只要回去就好了，沒什麼好擔心的啦～！」,"「Uh~~, Clone-chan is just as serious as Rikka... all we have to do now is go home, so don't worry!」","""Even the clones are as serious as Rikka. We just have to go back, there's nothing to worry about!""","「우～～, 클론쨩도 릿카 닮아서 진지하다니까… 이제 돌아가기만 하면 되는데 걱정할 필요 없어!」",「唉～克隆体小姐跟六花一样也认真了吧…接下来只要回去就好了，没什么好担心的啦～！」
,,,,,,,,,
Dialog.Chapter2-3-46,,その時、周辺の監視をしていた戦闘員から連絡が入る,その時、周辺の監視をしていた戦闘員から連絡が入る,這時，正在周邊監視的戰鬥員傳來聯絡——,這時，正在周邊監視的戰鬥員傳來聯絡——,"At that moment, the fighters monitoring the perimeter make contact.",Then they received a message from the scouting team nearby.,"그때, 주변을 감시하던 전투원으로부터 연락이 들어온다",这时，正在周边监视的战斗员传来联络——
,,,,,,,,,
Dialog.Chapter2-3-47,戦闘員,「六花捕獲班に告ぐっ！、作戦地点から6kmの距離で非常に強力な聖核戦姫と交戦中！」,「六花捕獲班に告ぐっ！、作戦地点から6kmの距離で非常に強力な聖核戦姫と交戦中！」,「六花捕獲班請注意！距離作戰地點6公里處正與極強的聖核戰姬交戰中！」,「六花捕獲班請注意！距離作戰地點6公里處正與極強的聖核戰姬交戰中！」,「Attention Rikka Capture Team! We are engaged with a very powerful Seikaku Princess at a distance of 6 kilometers from the operation point!」,"""Rikka capture team! We are engaged in combat with an extremely powerful Holy Core Battlemaiden is about six kilometers away from you!""","「릿카 포획반에 고한다!, 작전 지점으로부터 6km 거리에서 매우 강력한 성핵전희와 교전 중!」",「六花捕获班请注意！距离作战地点6公里处正与极强的圣核战姬交战中！」
,,,,,,,,,
Dialog.Chapter2-3-48,戦闘員,「聖核戦姫はビル方向へ向かって移動している模様！こっちの部隊はまもなく全滅する！」,「聖核戦姫はビル方向へ向かって移動している模様！こっちの部隊はまもなく全滅する！」,「聖核戰姬正在朝大樓方向移動！這裡的監視部隊即將全滅！」,「聖核戰姬正在朝大樓方向移動！這裏的監視部隊即將全滅！」,「The Seikaku Princess appears to be moving toward the building! Our troops will be annihilated soon!」,"""The Battlemaiden is moving toward the building! We are about to be wiped out!""",「성핵전희는 빌딩 방향으로 이동 중인 모양! 이쪽 부대는 곧 전멸한다!」,「圣核战姬正在朝大楼方向移动！这里的监视部队即将全灭！」
,,,,,,,,,
Dialog.Chapter2-3-49,005号,「……！？、監視班、対象の特徴を教えてください」,「……！？、監視班、対象の特徴を教えてください」,「……！？、監視班，請報告目標的特徵」,「……！？、監視班，請報告目標的特徵」,"「......! Surveillance team, please describe the subject.」","""Please tell us what she looks like!""","「……!?, 감시반, 대상의 특징을 알려주십시오」",「……！？、监视班，请报告目标的特征」
,,,,,,,,,
Dialog.Chapter2-3-50,戦闘員,「金髪で…とにかく強すぎるっ！、並みの聖核戦姫じゃねえっ――ぐぁっ――――」,「金髪で…とにかく強すぎるっ！、並みの聖核戦姫じゃねえっ――ぐぁっ――――」,「金髮…總之強到誇張！、根本不是一般的聖核戰姬――嗚啊――――」,「金髮…總之強到誇張！、根本不是一般的聖核戰姬――嗚啊――――」,「She's blonde...and too strong! She's no ordinary Seikaku Princess――gasp――――」,"""Blonde... Very powerful... Not the usual Holy Core Battlemaiden... Agh!""","「금발에… 아무튼 너무 강해!, 보통 성핵전희가 아니야――크악――――」",「金发…总之强到夸张！、根本不是一般的圣核战姬――呜啊――――」
,,,,,,,,,
Dialog.Chapter2-3-51,,ピ―――――――,ピ―――――――,嗶―――――――,嗶―――――――,Pi―――――――,Beep...,삐―――――――,哔―――――――
,,,,,,,,,
Dialog.Chapter2-3-52,005号,「………作戦を変更します。今から部隊を二つに分け、一つは六花移送部隊。もう一つは足止め部隊です。」,「………作戦を変更します。今から部隊を二つに分け、一つは六花移送部隊。もう一つは足止め部隊です。」,「………變更作戰計劃。現在起將部隊分成兩支，一支為六花移送部隊，另一支為阻截部隊。」,「………變更作戰計劃。現在起將部隊分成兩支，一支為六花移送部隊，另一支為阻截部隊。」,"「......... I am going to revert the operation plan. From now on, we will split the force into two. One will be the Rikka transport force. The other is a stall force.」","""Plan B. Split into two groups now. One will take Rikka back, and one will stop the Battlemaiden.""","「………작전을 변경합니다. 지금부터 부대를 둘로 나누어, 하나는 릿카 이송 부대. 다른 하나는 발 묶기 부대입니다.」",「………变更作战计划。现在起将部队分成两支，一支为六花移送部队，另一支为阻截部队。」
,,,,,,,,,
Dialog.Chapter2-3-53,005号,「笹谷明穂は数名の戦闘員と共に水無瀬六花を連れてアジトへ帰還してください。それ以外の戦闘員は私と共にここで時間を稼ぎます。」,「笹谷明穂は数名の戦闘員と共に水無瀬六花を連れてアジトへ帰還してください。それ以外の戦闘員は私と共にここで時間を稼ぎます。」,「笹谷明穗，妳帶上幾名戰鬥員護送水無瀨六花返回據點。其餘戰鬥員跟我留在這裡爭取時間。」,「笹谷明穗，妳帶上幾名戰鬥員護送水無瀨六花返回據點。其餘戰鬥員跟我留在這裡爭取時間。」,"「Sasaya Akiho, please return to the hideout with a few fighters and take Minase Rikka with you. The rest of the fighters will stay here with me to buy time.」","""Akiho Sasaya and several soldiers will take Rikka Minase back to the hideout. Everyone else will stay with me to stall the Battlemaiden.""",「사사야 아키호는 몇 명의 전투원과 함께 미나세 릿카를 데리고 아지트로 귀환하십시오. 그 외의 전투원은 저와 함께 여기서 시간을 벌겠습니다.」,「笹谷明穗，妳带上几名战斗员护送水无濑六花返回据点。其馀战斗员跟我留在这里争取时间。」
,,,,,,,,,
Dialog.Chapter2-3-54,明穂,「…っ！分かった。じゃあ行くねっ！」,「…っ！分かった。じゃあ行くねっ！」,「…！知道了。那我們走！」,「…！知道了。那我們走！」,"「Okay, I'll go then!」","""...Right. See you!""",「…윽! 알았어. 그럼 갈게!」,「…！知道了。那我们走！」
,,,,,,,,,
Dialog.Chapter2-3-55,戦闘員,「報告っ！既に対象が1kmの位置に接近！到着まであと30秒！」,「報告っ！既に対象が1kmの位置に接近！到着まであと30秒！」,「報告！目標已逼近到1公里範圍！預計30秒後抵達！」,「報告！目標已逼近到1公里範圍！預計30秒後抵達！」,「Report! Subject already approaching 1km position! 30 seconds to arrival!」,"""Sir, the target is less than a kilometer from us! Contact in 30 seconds!""",「보고! 이미 대상이 1km 위치에 접근! 도착까지 앞으로 30초!」,「报告！目标已逼近到1公里范围！预计30秒后抵达！」
,,,,,,,,,
Dialog.Chapter2-3-56,005号,「了解しました。総員戦闘準備！ビル前の道路で敵を足止めします！」,「了解しました。総員戦闘準備！ビル前の道路で敵を足止めします！」,「瞭解。全員進入戰鬥準備！在大樓前的道路上阻截目標！」,「了解。全員進入戰鬥準備！在大樓前的道路上阻截目標！」,「Copy that. All personnel prepare for battle! We'll hold the enemy back on the road in front of the building!」,"""Noted. Prepare for combat! We'll stop her on the road in front of the building!""",「알겠습니다. 총원 전투 준비! 빌딩 앞 도로에서 적의 발을 묶습니다!」,「了解。全员进入战斗准备！在大楼前的道路上阻截目标！」
,,,,,,,,,
Dialog.Chapter2-3-57,暗転,――――――,――――――,――――――,――――――,――――――,...,――――――,――――――
,,,,,,,,,
,,戦闘開始,戦闘開始,戰鬥開始,戦闘開始,,Combat Starts,전투 시작,战斗开始
,,負けイベ,負けイベ,失敗事件,負けイベ,,Defeated event,패배 장면,失败事件
,,戦闘終了,戦闘終了,戰鬥結束,戦闘終了,,Combat Ends,전투 종료,战斗结束
,,,,,,,,,
Dialog.Chapter2-3-58,???(エレナ黒),「―――やれやれ、1分もかかりませんでしたね。」,「―――やれやれ、1分もかかりませんでしたね。」,「―――唉，真是的，連一分鐘都沒到呢。」,「―――唉，真是的，連一分鐘都沒花到呢。」,"「――― Oh dear, that took less than a minute.」","""...That took less than a minute.""","「―――이런이런, 1분도 걸리지 않았군요.」",「―――唉，真是的，连一分钟都没到呢。」
,,,,,,,,,
Dialog.Chapter2-3-59,戦闘員,「………バケモノめっ、…ガハッ」,「………バケモノめっ、…ガハッ」,「………怪、怪物…咳哈」,「………怪、怪物…咳哈」,"「......... you monster, ...gah!」","""You... freak... Ugh...""","「………괴물 자식, …커헉」",「………怪、怪物…咳哈」
,,,,,,,,,
Dialog.Chapter2-3-60,エレナ,「バケモノとは心外です。私は清藤エレナ、聖月女学園のNo2です。知らずに戦いを挑んだのですか？」,「バケモノとは心外です。私は清藤エレナ、ホーリーコア・レギオンのNo2です。知らずに戦いを挑んだのですか？」,「怪物這稱呼真是失禮。我是清藤艾蓮娜，聖核軍團的二把手。你們連對手是誰都不知道就敢上來挑戰嗎？」,「怪物這稱呼真是失禮。我是清藤艾蓮娜，聖核軍團的二把手。你們連對手是誰都不知道就敢上來挑戰嗎？」,"「I'm sorry to be called a monster. I am Seidō Erena, No. 2 of Seigetsu Girl Academy. Did you challenge me to a fight without knowing it?」","""That's mean. I'm Elena Kiyofuji, the second-in-command Battlemaiden in Holy Core Legion. Did you not know about me before you took me on?""","「괴물이라니 실례입니다. 저는 세이토 엘레나, 홀리코어 레기온의 No2입니다. 모르고 싸움을 걸었습니까?」",「怪物这称呼真是失礼。我是清藤艾莲娜，圣核军团的二把手。你们连对手是谁都不知道就敢上来挑战吗？」
,,,,,,,,,
Dialog.Chapter2-3-61,エレナ,「まあいいでしょう。さて、六花さんの所へ行きましょうか。」,「まあいいでしょう。さて、六花さんの所へ行きましょうか。」,「算了，也罷。那麼，去找六花小姐吧。」,「算了，也罷。那麼，去找六花同學吧。」,"「Well, that's all right. Now let's go to Rikka―san's.」","""Anyway, I guess I'll go find Rikka.""","「뭐 됐습니다. 자, 릿카 양에게 가볼까요.」",「算了，也罢。那么，去找六花小姐吧。」
,,,,,,,,,
Dialog.Chapter2-3-62,,「そこの戦闘員。水無瀬六花と笹谷明穂がどこにいるのか教えなさい。5秒以内に言わなければ―――」,「そこの戦闘員。水無瀬六花と笹谷明穂がどこにいるのか教えなさい。5秒以内に言わなければ―――」,「那邊的戰鬥員，告訴我水無瀨六花跟笹谷明穗在哪裡。我數到五―――」,「那邊的戰鬥員，告訴我水無瀨六花跟笹谷明穗在哪裡。我數到五―――」,「Tell me where Minase Rikka and Sasaya Akiho are. Tell me where Minase Rikka and Sasaya Akiho are if you don't tell me within five seconds...」,"""You, over there! Where is Rikka Minase and Akiho Sasaya? If you don't tell me within five seconds...""",「거기 전투원. 미나세 릿카와 사사야 아키호가 어디 있는지 알려주십시오. 5초 안에 말하지 않으면―――」,「那边的战斗员，告诉我水无濑六花跟笹谷明穗在哪里。我数到五―――」
,,,,,,,,,
Dialog.Chapter2-3-63,戦闘員,「ひいっ！言うっ、言います！水無瀬六花はこのビルの最上階にいてっ、さっきまで俺達と戦闘をっ」,「ひいっ！言うっ、言います！水無瀬六花はこのビルの最上階にいてっ、さっきまで俺達と戦闘をっ」,「噫！我說、我說！水無瀨六花人在這棟大樓的最上層，剛剛還跟我們交戰——」,「噫！我說、我說！水無瀨六花人在這棟大樓的最上層，剛剛還跟我們交戰——」,"「I'll say it! Minase Rikka is on the top floor of this building! Minase Rikka is on the top floor of this building, and she was fighting with us just now!」","""Gahhhh! Rikka Minase is on the top floor of this building. She was just...""","「히익! 말할게요, 말하겠습니다! 미나세 릿카는 이 빌딩 최상층에 있고, 방금 전까지 저희와 전투를」",「噫！我说、我说！水无濑六花人在这栋大楼的最上层，刚刚还跟我们交战——」
,,,,,,,,,
Dialog.Chapter2-3-64,,ドシュッ！という音と共にエレナはビルの最上階の高度まで飛び上がり、そのままガラスを破壊して中に入る,ドシュッ！という音と共にエレナはビルの最上階の高度まで飛び上がり、そのままガラスを破壊して中に入る,伴隨「咻！」的一聲，艾蓮娜一躍直達大樓頂層，隨即撞碎玻璃闖入室內。,伴隨「咻！」的一聲，艾蓮娜一躍直達大樓頂層，隨即撞碎玻璃闖入室內。,"With a thud, Erena jumped to the top floor of the building, smashing the glass and entering! Erena jumps up to the altitude of the top floor of the building, smashes the glass, and enters the building.","Elena jumped and reached the highest floor, then broke the window and went inside.","두슈! 하는 소리와 함께 엘레나는 빌딩 최상층 높이까지 뛰어오르고, 그대로 유리를 파괴하고 안으로 들어간다",伴随「咻！」的一声，艾莲娜一跃直达大楼顶层，随即撞碎玻璃闯入室内。
,,,,,,,,,
Dialog.Chapter2-3-65,六花？,「……！エレナ先輩っ！？」,「……！エレナ先輩っ！？」,「……！艾蓮娜前輩！？」,「……！艾蓮娜前輩！？」,「......! Erena senior!」,"""...Elena?""",「……! 엘레나 선배!?」,「……！艾莲娜前辈！？」
,,,,,,,,,
Dialog.Chapter2-3-66,エレナ,「……ああ六花さん、無事でしたか。」,「……ああ六花さん、無事でしたか。」,「……啊，六花小姐，妳沒事真是太好了。」,「……啊，六花小姐，妳沒事真是太好了。」,"「...... Oh Rikka―san, are you all right?」","""Rikka... Glad you're all right.""","「……아아 릿카 양, 무사했군요.」",「……啊，六花小姐，妳没事真是太好了。」
,,,,,,,,,
Dialog.Chapter2-3-67,,ビルの最上階には制服の水無瀬六花が後ろ手に手錠をかけられたまま一人横たわっていた,ビルの最上階には水無瀬六花が後ろ手に手錠をかけられたまま一人横たわっていた,在大樓的頂層，水無瀨六花被反銬著雙手，一個人躺在地上。,在大樓的頂層，水無瀨六花被反銬著雙手，一個人躺在地上。,"On the top floor of the building, a uniformed Minase Rikka was lying alone, handcuffed behind her back.",There was a body behind a handcuffed Rikka Minase.,빌딩 최상층에는 미나세 릿카가 뒷짐의 상태로 수갑이 채워진 채 혼자 누워 있었다,在大楼的顶层，水无濑六花被反铐着双手，一个人躺在地上。
,,,,,,,,,
Dialog.Chapter2-3-68,エレナ,「…どういう状況か詳しく説明をお願いします。」,「…どういう状況か詳しく説明をお願いします。」,「……麻煩詳細說明一下現在的狀況。」,「……麻煩詳細說明一下現在的狀況。」,「...Could you please elaborate on what the situation is?」,"""Tell me what happened.""",「…어떤 상황인지 자세히 설명 부탁합니다.」,「……麻烦详细说明一下现在的状况。」
,,,,,,,,,
Dialog.Chapter2-3-69,六花？,「っ、はいっ！……それはかくかくしかじかで―――」,「っ、はいっ！……それはかくかくしかじかで―――」,「是、是的！……事情是這樣、那樣―――」,「是、是的！……事情是這樣這樣、那樣那樣―――」,「I'll tell you what! ...... it's a matter of kakka kakka―――」,"""Yes, ma'am. I...""","「윽, 네!……그건 이러쿵저러쿵해서―――」",「是、是的！……事情是这样、那样―――」
,,,,,,,,,
Dialog.Chapter2-3-70,六花？,「―――明穂を見つけたものの…逃がしてしまいました…っ」,「―――明穂を見つけたものの…逃がしてしまいました…っ」,「――雖然找到了明穗……但還是被她們帶著逃走了……」,「――雖然找到了明穗……但還是被她們帶著逃走了……」,「―――I found Akiho... but I let him go...」,"""...I found Akiho, but I let her get away.""",「―――아키호를 찾았지만… 놓쳐버렸습니다…윽」,「――虽然找到了明穗……但还是被她们带着逃走了……」
,,,,,,,,,
Dialog.Chapter2-3-71,エレナ,「………そうですか。はあ…、しかし薬を打たれたからとはいえ、この程度の敵にすら逃げられるとは…。」,「………そうですか。はあ…、しかし薬を打たれたからとはいえ、この程度の敵にすら逃げられるとは…。」,「………是嗎。唉……不過，就算是被下了藥，居然連這種程度的敵人都讓她逃掉……。」,「………是嗎。唉……不過，就算是被下了藥，居然連這種程度的敵人都讓她逃掉……。」,"「......... I see. Huh...but even though I was drugged, I didn't think I could escape even an enemy of this caliber...」","""I see... I know you were drugged, but you let someone like that escape...""","「………그렇군요. 하아…, 하지만 약을 맞았다고는 해도, 이 정도의 적에게조차 당하다니….」",「………是吗。唉……不过，就算是被下了药，居然连这种程度的敌人都让她逃掉……。」
,,,,,,,,,
Dialog.Chapter2-3-72,,「あなたにはもっと期待していたのですが。残念です」,「あなたにはもっと期待していたのですが。残念です」,「我本來對妳抱有更多期待的。真是讓人失望。」,「我本來對妳抱有更多期待的。真是讓人失望。」,「I expected more from you. It's a shame.」,"""I was hoping you would do better. What a shame.""",「당신에게는 좀 더 기대하고 있었습니다만. 유감입니다」,「我本来对妳抱有更多期待的。真是让人失望。」
,,,,,,,,,
Dialog.Chapter2-3-73,エレナ,「そして脅されていたとはいえ、生徒会に報告することなく勝手な行動をしたのも問題です。」,「そして脅されていたとはいえ、司令部に報告することなく勝手な行動をしたのも問題です。」,「還有，雖說妳是被脅迫，但沒有向司令部回報就擅自採取行動，這也是問題。」,「還有，雖說妳是被脅迫，但沒有向司令部回報就擅自採取行動，這也是問題。」,"「And even though he was threatened, the fact that he acted on his own without informing the student council is also problematic.」","""And you were threatened, but you took actions without reporting to the Command Center.""","「그리고 협박당했다고는 하지만, 사령부에 보고하지 않고 멋대로 행동한 것도 문제입니다.」",「还有，虽说妳是被胁迫，但没有向司令部回报就擅自采取行动，这也是问题。」
,,,,,,,,,
Dialog.Chapter2-3-74,六花？,「っ、申し訳ありません……。」,「っ、申し訳ありません……。」,「……非常抱歉。」,「……非常抱歉。」,「I'm sorry. .......」,"""I... I'm sorry...""","「윽, 죄송합니다…….」",「……非常抱歉。」
,,,,,,,,,
Dialog.Chapter2-3-75,エレナ,「……。まあ、あなたの処分は明日生徒会で検討するとして…。」,「……。まあ、あなたの処分は明日司令部で検討するとして…。」,「……算了，妳的處分明天再由司令部審議。」,「……算了，妳的處分明天再由司令部審議。」,"「....... Well, your punishment will be considered by the student council tomorrow...」","""We will discuss the repercussions at the Command Center tomorrow.""","「……. 뭐, 당신의 처분은 내일 사령부에서 검토하기로 하고….」",「……算了，妳的处分明天再由司令部审议。」
,,,,,,,,,
Dialog.Chapter2-3-76,エレナ,「私が財団の危険性を過小評価していたのも事実です。」,「私が財団の危険性を過小評価していたのも事実です。」,「再說，我確實也低估了財團的危險性。」,「再說，我確實也低估了財團的危險性。」,「It is also true that I underestimated the dangers of the Foundation.」,"""I also underestimated the danger of the Foundation.""",「제가 재단의 위험성을 과소평가한 것도 사실입니다.」,「再说，我确实也低估了财团的危险性。」
,,,,,,,,,
Dialog.Chapter2-3-77,,「ここからは聖月生徒会がこの誘拐事件を担当します。明穂さんを奪還し、この際ついでに財団も完全に壊滅させてしまいましょう。」,「ここからはホーリーコア・レギオン司令部がこの誘拐事件を担当します。明穂さんを奪還し、この際ついでに財団も完全に壊滅させてしまいましょう。」,「從現在起聖核軍團司令部將負責這起誘拐事件。奪回明穗小姐，順便趁機將財團徹底殲滅。」,「從現在起聖核軍團司令部將負責這起誘拐事件。奪回明穗小姐，順便趁機將財團徹底殲滅。」,「The Seigetsu Student Council will be in charge of this kidnapping case from here on. Let's retrieve Ms. Akiho and completely destroy the Foundation while we're at it.」,"""Going forward, Holy Core Legion Command Center will take over the kidnapping case. We will bring back Akiho and topple the Foundation for good.""","「여기서부터는 홀리코어 레기온 사령부가 이 유괴 사건을 담당합니다. 아키호 양을 탈환하고, 이 참에 재단도 완전히 괴멸시켜 버립시다.」",「从现在起圣核军团司令部将负责这起诱拐事件。夺回明穗小姐，顺便趁机将财团彻底歼灭。」
,,,,,,,,,
Dialog.Chapter2-3-78,六花？,「――――！」,「――――！」,「――――！」,「――――！」,「――――!」,"""...!""",「――――!」,「――――！」
,,,,,,,,,
Dialog.Chapter2-3-79,エレナ,「この忙しい時期に仕事が増えてしまいましたが…。しかたありません。」,「この忙しい時期に仕事が増えてしまいましたが…。しかたありません。」,「偏偏在這種忙得不可開交的時候又多了工作……但也只能認了。」,「偏偏在這種忙得不可開交的時候又多了工作……但也只能認了。」,"「I have more work to do at this busy time of the year..."" It can't be helped.」","""Now we have more work during this busy period... But it has to be done.""",「이 바쁜 시기에 일이 늘어버렸습니다만…. 어쩔 수 없죠.」,「偏偏在这种忙得不可开交的时候又多了工作……但也只能认了。」
,,,,,,,,,
Dialog.Chapter2-3-80,,「―――これから緊急で聖月女学園生徒会を招集します。財団との戦いを終わらせましょう。」,「―――これから緊急で上位の聖核戦姫達を招集します。財団との戦いを終わらせましょう。」,「―――現在緊急召集高階的聖核戰姬們。讓我們把與財團的戰鬥徹底結束吧。」,「―――現在緊急召集高階的聖核戰姬們。讓我們把與財團的戰鬥徹底結束吧。」,「―――I am now going to urgently convene the student council of Seigetsu School. Let's finish the fight against the Foundation.」,"""We will now summon the top-tier Holy Core Battlemaidens to end this battle with the Foundation.""",「―――이제부터 긴급히 상위 성핵전희들을 소집합니다. 재단과의 싸움을 끝내도록 하죠.」,「―――现在紧急召集高阶的圣核战姬们。让我们把与财团的战斗彻底结束吧。」
